name,price,km,owner,year,fuel,location
Mahindra Scorpio VLX 2WD Airbag BS-IV,"10,00,000","70,000 KMs",1 Owner,2013,Diesel,Bellary
BMW 5 Series 525d Sedan,"10,00,000","1,15,000 KMs",2 Owners,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],"7,00,000","1,02,000 KMs",1 Owner,2016,Diesel,Bellary
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],"7,00,000","1,02,000 KMs",1 Owner,2016,Diesel,Bellary
Chevrolet Beat LT Diesel,"2,00,000","1,00,200 KMs",2 Owners,2012,Diesel,Bellary
Mahindra Scorpio VLX 2WD Airbag BS-IV,"10,00,000","70,000 KMs",1 Owner,2013,Diesel,Bellary
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],"7,00,000","1,02,000 KMs",1 Owner,2016,Diesel,Bellary
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],"7,00,000","1,02,000 KMs",1 Owner,2016,Diesel,Bellary
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],"7,00,000","1,02,000 KMs",1 Owner,2016,Diesel,Bellary
Hyundai i20 Active 1.2 SX,"8,50,000","85,000 KMs",2 Owners,2017,Petrol,Bellary
Hyundai i20 Active 1.2 SX,"8,50,000","85,000 KMs",2 Owners,2017,Petrol,Bellary
BMW 5 Series 525d Sedan,"10,00,000","1,15,000 KMs",2 Owners,2012,Diesel,Bellary
Hyundai i20 Active 1.2 SX,"8,50,000","85,000 KMs",2 Owners,2017,Petrol,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai i20 Active 1.2 SX,"8,50,000","85,000 KMs",2 Owners,2017,Petrol,Bellary
BMW 5 Series 525d Sedan,"10,00,000","1,15,000 KMs",2 Owners,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],"7,00,000","1,02,000 KMs",1 Owner,2016,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Toyota Etios VD,"5,00,000","1,00,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,"6,20,000","38,000 KMs",2 Owners,2014,Petrol,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Renault Fluence 1.5 E2,"4,00,000","1,40,000 KMs",2 Owners,2012,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Hyundai Creta SX 1.6 AT CRDi,"15,60,000","68,000 KMs",1 Owner,2018,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Hyundai Venue SX Plus 1.0 Turbo DCT,"11,75,000","5,093 KMs",2 Owners,2019,Petrol,Bangalore
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Hyundai i20 Asta (O) 1.0 Turbo DCT,"9,50,000","11,198 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"19,49,000","35,115 KMs",1 Owner,2017,Diesel,Bangalore
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Chevrolet Beat LT Diesel,"1,50,000","1,05,500 KMs",2 Owners,2013,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Toyota Fortuner 3.0 4x4 AT,"18,00,000","2,20,000 KMs",1 Owner,2015,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Hyundai Getz Prime 1.5 GVS CRDi,"1,90,000","1,10,000 KMs",4+ Owners,2008,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Scorpio VLX 2WD Airbag BS-IV,"10,00,000","70,000 KMs",1 Owner,2013,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Maruti Suzuki Dzire LXi,"6,30,000","19,500 KMs",1 Owner,2020,Petrol,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Honda WR-V Edge Edition Diesel [2018-2019],"8,50,000","1,00,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Chevrolet Optra Magnum MAX 2.0 TCDi,"3,00,000","1,25,000 KMs",1 Owner,2008,Diesel,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Maruti Suzuki Baleno Alpha 1.2,"7,00,000","40,000 KMs",2 Owners,2016,Petrol,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Tata Indigo eCS LS CR4 BS-IV,"1,60,000","2,15,000 KMs",2 Owners,2011,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Quanto C6,"3,00,000","78,000 KMs",1 Owner,2012,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Mahindra Bolero Power Plus ZLX [2016-2019],"6,50,000","1,17,000 KMs",2 Owners,2017,Diesel,Bellary
Mahindra XUV500 W9 [2018-2020],"18,25,000","45,000 KMs",1 Owner,2018,Diesel,Bellary
Renault Fluence 1.5 E2,"4,00,000","1,40,000 KMs",2 Owners,2012,Diesel,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
BMW 5 Series 525d Sedan,"10,00,000","1,15,000 KMs",2 Owners,2012,Diesel,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
Hyundai Elite i20 Asta 1.2 Dual Tone,"7,18,000","28,000 KMs",1 Owner,2018,Petrol,Bellary
Maruti Suzuki 800 DX,"55,000","93,000 KMs",2 Owners,1998,Petrol,Bellary
